ent_res,año,ht,d,lht,ld
e2,1998,96,10910,4.564348,9.297435
e2,1999,105,11301,4.65396,9.332646
e2,2000,91,11364,4.510859,9.338205
e2,2001,97,11090,4.574711,9.313799
e2,2002,118,11365,4.770685,9.338294
e2,2003,101,11918,4.61512,9.385805
e2,2004,121,12422,4.795791,9.427224
e2,2005,121,12695,4.795791,9.448963
e2,2006,114,12696,4.736198,9.449042
e2,2007,157,13069,5.056246,9.477999
e2,2008,147,14052,4.990433,9.55052
e2,2009,167,15232,5.117994,9.631154
e2,2010,196,15400,5.278115,9.642123
e2,2011,206,14922,5.327876,9.610592
e2,2012,201,14756,5.303305,9.599405
e2,2013,233,15948,5.451038,9.677089
e2,2014,275,16198,5.616771,9.692643
e23,1998,17,2083,2.833213,7.641564
e23,1999,18,2351,2.890372,7.762596
e23,2000,13,2335,2.564949,7.755767
e23,2001,6,2493,1.791759,7.821242
e23,2002,22,2552,3.091043,7.844633
e23,2003,18,2753,2.890372,7.920446
e23,2004,19,2950,2.944439,7.989561
e23,2005,17,3206,2.833213,8.07278
e23,2006,24,3104,3.178054,8.040447
e23,2007,37,3727,3.610918,8.223359
e23,2008,36,3849,3.583519,8.255569
e23,2009,46,4097,3.828641,8.31801
e23,2010,50,4436,3.912023,8.397509
e23,2011,50,4409,3.912023,8.391403
e23,2012,58,4659,4.060443,8.446556
e23,2013,61,4872,4.110874,8.49126
e23,2014,59,5045,4.077538,8.526153
e26,1998,176,10491,5.170484,9.258273
e26,1999,168,10730,5.123964,9.280799
e26,2000,156,10468,5.049856,9.256079
e26,2001,168,10812,5.123964,9.288412
e26,2002,169,10995,5.129899,9.305196
e26,2003,170,11697,5.135798,9.367087
e26,2004,199,11723,5.293305,9.369308
e26,2005,219,12401,5.389072,9.425532
e26,2006,179,12241,5.187386,9.412546
e26,2007,242,12449,5.488938,9.429396
e26,2008,235,13210,5.459586,9.488729
e26,2009,288,13941,5.662961,9.542589
e26,2010,273,14916,5.609472,9.610189
e26,2011,272,14752,5.605802,9.599133
e26,2012,293,15001,5.680172,9.615872
e26,2013,279,15451,5.631212,9.645429
e26,2014,325,16041,5.783825,9.682903
e27,1998,125,7789,4.828314,8.960467
e27,1999,107,7270,4.672829,8.891512
e27,2000,107,7188,4.672829,8.880168
e27,2001,137,7636,4.919981,8.940629
e27,2002,132,7662,4.882802,8.944028
e27,2003,152,8309,5.02388,9.025095
e27,2004,157,8202,5.056246,9.012134
e27,2005,184,8724,5.214936,9.073833
e27,2006,154,8878,5.036952,9.091331
e27,2007,177,9073,5.17615,9.113058
e27,2008,194,9536,5.267858,9.162829
e27,2009,202,10033,5.308268,9.213634
e27,2010,233,11156,5.451038,9.319733
e27,2011,242,10715,5.488938,9.2794
e27,2012,227,10834,5.42495,9.290444
e27,2013,234,11738,5.455321,9.370586
e27,2014,276,12120,5.620401,9.402613
e28,1998,135,11548,4.905275,9.354267
e28,1999,131,11563,4.875197,9.355566
e28,2000,154,11719,5.036952,9.368967
e28,2001,168,11796,5.123964,9.375516
e28,2002,197,11970,5.283204,9.390159
e28,2003,178,12462,5.181784,9.430439
e28,2004,186,12969,5.225747,9.470317
e28,2005,200,13487,5.298317,9.509481
e28,2006,186,13852,5.225747,9.536185
e28,2007,215,14301,5.370638,9.568085
e28,2008,233,14870,5.451038,9.607101
e28,2009,218,15699,5.384495,9.661352
e28,2010,222,17200,5.402678,9.752665
e28,2011,277,16880,5.624018,9.733885
e28,2012,277,17856,5.624018,9.790095
e28,2013,332,18163,5.805135,9.807142
e28,2014,388,18611,5.961005,9.831508
e31,1998,48,8318,3.871201,9.026177
e31,1999,39,8007,3.663562,8.988071
e31,2000,42,8060,3.73767,8.994669
e31,2001,56,8357,4.025352,9.030855
e31,2002,65,8681,4.174387,9.068892
e31,2003,55,9110,4.007333,9.117128
e31,2004,59,8625,4.077538,9.06242
e31,2005,68,9169,4.219508,9.123584
e31,2006,57,9501,4.043051,9.159152
e31,2007,84,9812,4.430817,9.191361
e31,2008,80,10172,4.382027,9.227394
e31,2009,93,10406,4.532599,9.250138
e31,2010,104,11172,4.644391,9.321166
e31,2011,103,10763,4.634729,9.28387
e31,2012,100,10954,4.60517,9.30146
e31,2013,119,11606,4.779123,9.359278
e31,2014,155,11819,5.043425,9.377463
e4,1998,15,2709,2.70805,7.904335
e4,1999,16,2544,2.772589,7.841493
e4,2000,14,2526,2.639057,7.834392
e4,2001,25,2493,3.218876,7.821242
e4,2002,27,2750,3.295837,7.919356
e4,2003,20,2827,2.995732,7.946971
e4,2004,35,2946,3.555348,7.988204
e4,2005,32,3019,3.465736,8.012681
e4,2006,36,3084,3.583519,8.033982
e4,2007,38,3186,3.637586,8.066522
e4,2008,34,3516,3.526361,8.165079
e4,2009,48,3651,3.871201,8.202756
e4,2010,48,3820,3.871201,8.248006
e4,2011,55,3736,4.007333,8.225771
e4,2012,49,3964,3.89182,8.285008
e4,2013,58,4139,4.060443,8.32821
e4,2014,59,4249,4.077538,8.354439
e5,1998,143,10202,4.962845,9.230339
e5,1999,134,9706,4.89784,9.180499
e5,2000,135,10229,4.905275,9.232982
e5,2001,189,10748,5.241747,9.282475
e5,2002,168,11030,5.123964,9.308374
e5,2003,167,11458,5.117994,9.346443
e5,2004,190,11044,5.247024,9.309643
e5,2005,150,12377,5.010635,9.423595
e5,2006,191,11955,5.252274,9.388905
e5,2007,245,12626,5.501258,9.443514
e5,2008,237,12981,5.46806,9.471242
e5,2009,267,13792,5.587249,9.531844
e5,2010,256,14593,5.545177,9.588297
e5,2011,268,14640,5.590987,9.591513
e5,2012,247,15200,5.509388,9.62905
e5,2013,297,15716,5.693732,9.662435
e5,2014,359,16466,5.883322,9.709053
e7,1998,162,16413,5.087596,9.705829
e7,1999,153,15204,5.030438,9.629313
e7,2000,172,15253,5.147494,9.632531
e7,2001,169,15815,5.129899,9.668715
e7,2002,147,16424,4.990433,9.706499
e7,2003,164,16889,5.099866,9.734418
e7,2004,178,16692,5.181784,9.722685
e7,2005,212,17411,5.356586,9.764857
e7,2006,241,18287,5.484797,9.813946
e7,2007,271,18767,5.602119,9.839855
e7,2008,278,19570,5.627621,9.881753
e7,2009,352,20378,5.863631,9.922211
e7,2010,358,21721,5.880533,9.986034
e7,2011,328,21199,5.793014,9.961709
e7,2012,326,22411,5.786897,10.01731
e7,2013,403,23121,5.998937,10.0485
e7,2014,447,24568,6.102559,10.1092
e8,1998,270,15386,5.598422,9.641213
e8,1999,274,15517,5.613128,9.649692
e8,2000,241,15358,5.484797,9.639392
e8,2001,234,15905,5.455321,9.674389
e8,2002,254,16494,5.537334,9.710752
e8,2003,193,17033,5.26269,9.742908
e8,2004,186,16277,5.225747,9.697509
e8,2005,231,17239,5.442418,9.75493
e8,2006,209,17963,5.342334,9.796069
e8,2007,240,18064,5.480639,9.801677
e8,2008,277,21066,5.624018,9.955416
e8,2009,343,22255,5.83773,10.01032
e8,2010,337,25809,5.820083,10.15848
e8,2011,348,24121,5.852202,10.09084
e8,2012,347,22187,5.849325,10.00726
e8,2013,369,22314,5.910797,10.01297
e8,2014,444,22163,6.095825,10.00618
