"","edad","id_ent","sexo","casoT"
"1","0-14",1,1,2
"2","0-14",1,2,5
"3","0-14",2,1,10
"4","0-14",2,2,4
"5","0-14",3,1,1
"6","0-14",3,2,4
"7","0-14",5,1,4
"8","0-14",5,2,9
"9","0-14",7,1,3
"10","0-14",7,2,4
"11","0-14",8,1,9
"12","0-14",8,2,9
"13","0-14",9,1,9
"14","0-14",9,2,19
"15","0-14",10,1,1
"16","0-14",10,2,2
"17","0-14",11,1,6
"18","0-14",11,2,7
"19","0-14",12,1,2
"20","0-14",12,2,4
"21","0-14",13,1,2
"22","0-14",13,2,9
"23","0-14",14,1,11
"24","0-14",14,2,18
"25","0-14",15,1,6
"26","0-14",15,2,5
"27","0-14",16,1,6
"28","0-14",16,2,6
"29","0-14",17,1,1
"30","0-14",18,1,1
"31","0-14",18,2,1
"32","0-14",19,1,3
"33","0-14",19,2,6
"34","0-14",20,1,2
"35","0-14",20,2,2
"36","0-14",21,1,1
"37","0-14",21,2,6
"38","0-14",22,2,5
"39","0-14",24,1,5
"40","0-14",24,2,4
"41","0-14",25,1,2
"42","0-14",25,2,5
"43","0-14",26,1,2
"44","0-14",26,2,5
"45","0-14",27,1,2
"46","0-14",27,2,1
"47","0-14",28,1,2
"48","0-14",28,2,3
"49","0-14",29,1,2
"50","0-14",29,2,1
"51","0-14",30,1,8
"52","0-14",30,2,12
"53","0-14",31,1,2
"54","0-14",31,2,2
"55","0-14",32,1,2
"56","0-14",32,2,2
"57","15-29",1,1,2
"58","15-29",1,2,8
"59","15-29",2,1,13
"60","15-29",2,2,11
"61","15-29",3,1,1
"62","15-29",3,2,1
"63","15-29",4,2,5
"64","15-29",5,1,17
"65","15-29",5,2,22
"66","15-29",6,1,2
"67","15-29",6,2,1
"68","15-29",7,1,4
"69","15-29",7,2,1
"70","15-29",8,1,11
"71","15-29",8,2,20
"72","15-29",9,1,24
"73","15-29",9,2,39
"74","15-29",10,1,8
"75","15-29",10,2,16
"76","15-29",11,1,14
"77","15-29",11,2,19
"78","15-29",12,2,8
"79","15-29",13,1,2
"80","15-29",13,2,4
"81","15-29",14,1,25
"82","15-29",14,2,28
"83","15-29",15,1,16
"84","15-29",15,2,21
"85","15-29",16,1,11
"86","15-29",16,2,11
"87","15-29",17,1,1
"88","15-29",17,2,3
"89","15-29",18,2,2
"90","15-29",19,1,16
"91","15-29",19,2,18
"92","15-29",20,1,1
"93","15-29",20,2,5
"94","15-29",21,1,9
"95","15-29",21,2,4
"96","15-29",22,1,4
"97","15-29",22,2,11
"98","15-29",23,2,5
"99","15-29",24,1,6
"100","15-29",24,2,14
"101","15-29",25,1,2
"102","15-29",25,2,16
"103","15-29",26,1,5
"104","15-29",26,2,15
"105","15-29",27,1,1
"106","15-29",27,2,2
"107","15-29",28,1,9
"108","15-29",28,2,11
"109","15-29",29,2,1
"110","15-29",30,1,6
"111","15-29",30,2,12
"112","15-29",31,1,6
"113","15-29",31,2,1
"114","15-29",32,1,4
"115","15-29",32,2,8
"116","30-44",1,1,33
"117","30-44",1,2,35
"118","30-44",2,1,69
"119","30-44",2,2,110
"120","30-44",3,1,25
"121","30-44",3,2,28
"122","30-44",4,1,15
"123","30-44",4,2,16
"124","30-44",5,1,81
"125","30-44",5,2,147
"126","30-44",6,1,7
"127","30-44",6,2,15
"128","30-44",7,1,33
"129","30-44",7,2,73
"130","30-44",8,1,101
"131","30-44",8,2,171
"132","30-44",9,1,211
"133","30-44",9,2,348
"134","30-44",10,1,69
"135","30-44",10,2,69
"136","30-44",11,1,108
"137","30-44",11,2,169
"138","30-44",12,1,24
"139","30-44",12,2,40
"140","30-44",13,1,29
"141","30-44",13,2,64
"142","30-44",14,1,155
"143","30-44",14,2,190
"144","30-44",15,1,204
"145","30-44",15,2,294
"146","30-44",16,1,73
"147","30-44",16,2,133
"148","30-44",17,1,12
"149","30-44",17,2,37
"150","30-44",18,1,6
"151","30-44",18,2,21
"152","30-44",19,1,79
"153","30-44",19,2,113
"154","30-44",20,1,37
"155","30-44",20,2,51
"156","30-44",21,1,64
"157","30-44",21,2,93
"158","30-44",22,1,31
"159","30-44",22,2,54
"160","30-44",23,1,27
"161","30-44",23,2,51
"162","30-44",24,1,41
"163","30-44",24,2,78
"164","30-44",25,1,49
"165","30-44",25,2,73
"166","30-44",26,1,48
"167","30-44",26,2,106
